wavs/1 (enhanced).wav|bienvenidos a un nuevo video para el canal. Piensa en el chupe. Okey no hahahahaha.
wavs/45 (enhanced).wav|¿Qué creen? que esta disquera, seudo disquera ¡me aceptó!. ¡Joddishet! ¡Qué es eso!
wavs/46 (enhanced).wav|Y me mandaron un correo diciendo: ¡ey! soy Persi mul, de Beich Récords.
wavs/47 (enhanced).wav|Te hemos aceptado, hemos discutido con nuestro equipo y creemos que eres el ideal para nuestra disquera, estamos buscando nuevos artistas este dos mil veintiuno.
wavs/48 (enhanced).wav|Entré a la página de los planes, vi todos los planes, estaba el standard y no recuerdo cuál más, creo que solamente había dos planes para publicar tus lanzamientos.
wavs/49 (enhanced).wav|Vi los planes y me di cuenta que el más económico, que supuestamente es el standard, costaba novecientos noventa y nueve dólares.
wavs/50 (enhanced).wav|¡Lo que es mil pesos mexicanos! ¡y sólo para poder publicar tu música!
wavs/51 (enhanced).wav|¡Dime qué disquera te va a pagar para publicar tu música huey!
wavs/52 (enhanced).wav|El final de todo esto es que, yo estaba ilusionado, pero a la vez estaba sospechando.
wavs/53 (enhanced).wav|Porque una disquera seria jamás te va a aceptar con una demo mal ecualizada.
wavs/54 (enhanced).wav|Y tal vez te dé sugerencias para mejorar, si es que creen que tienes potencial.
wavs/55 (enhanced).wav|Provablemente den sugerencias para que puedas mejorar en tu sonido o todo eso.
wavs/56 (enhanced).wav|Después de unas semanas, me empecé a dar cuenta de que era una estafa.
wavs/57 (enhanced).wav|Todavía no lo creía al cien por ciento, ya después busqué la disquera en Google, y después de haber buscado la disquera en Google, me encontré con un hilo en Reddit.
wavs/58 (enhanced).wav|Básicamente el hilo se llamaba Beich Récord is a Scam o, lo que prácticamente se traduce como Beich Récords es una estafa.
wavs/59 (enhanced).wav|Leí todo el hilo, leí lo de tenían problemas para cancelar su suscripción porque ya no podían, entonces ahí yo llegué a la conclusión de que era un fraude.
wavs/60 (enhanced).wav|Yo publiqué en Twitter, de hecho, si me siguen en mi Twitter personal sabrán que yo publiqué algo sobre eso.
wavs/61 (enhanced).wav|No fue tan largo como este video, porque siento que con tweets no puedes expresarte al cien por ciento.
wavs/62 (enhanced).wav|O sea, al cien cien por ciento, así decir hasta de lo que se va a morir la disquera en mi caso.
wavs/63 (enhanced).wav|El mensaje de esta historia que yo aprendí, y que espero que alguien le sirva esta experiencia, que investigue, que se informe antes de pensar lo que va a hacer.
wavs/64 (enhanced).wav|Les juro que que en un momento si me llegué a volver loco, y no lo creía.
wavs/65 (enhanced).wav|Pero después de pensar las cosas, calmado, sin nada de felicidad, porque estaba feliz por eso la verdad.
wavs/66 (enhanced).wav|Porque pensé que era algo real, pero luego analicé como les digo, y me di cuenta que no era verdad.
wavs/67 (enhanced).wav|Si les llega un correo de Beich Récords diciéndoles que se pueden encargar de promocionar su música, que pueden enviar una demo,
wavs/68 (enhanced).wav|Si quieren divertirse un poco, mándenles la demo, mándenles lo más tonto que hayan hecho.
wavs/69 (enhanced).wav|Verán cómo se la van a tragar toda, y les van a aceptar su demo, y los van a firmar en esa seudo disquera.
wavs/70 (enhanced).wav|Mami yo no quiero, fumar marihuana. Poco por la noche, y por la mañana.
wavs/71 (enhanced).wav|Son las nueve de la mañana. ¡Yaaaaay!. ¡Aplausos!.
wavs/72 (enhanced).wav|¡Kiroguita! ahora mismo te me bajas de aquí.
wavs/73 (enhanced).wav|Hacia abajo, hacia abajo. Quiroga no se quiere bajar. Hacia abajo, yo sé que tu entiendes, hacia abajo.
wavs/74 (enhanced).wav|Güey, acabo de tomarme un maldito caldo de pollo.
wavs/75 (enhanced).wav|Por no saber, diferenciar entre un, va, entre una botella de leche de cartón, porque estaba tranquilamente queriendo, cenar ¿no?
wavs/76 (enhanced).wav|Servirme de cenar, da igual si estoy enfocando pero, story taim, y entonces hagan de cuenta que estaba buscando la leche ¿No?
wavs/77 (enhanced).wav|Porque ya tenía un bísquet que me iba a comer con la leche, entonces, hagan de cuenta, que encontré un bote que, según yo, pensé que era la leche.
wavs/78 (enhanced).wav|Que me lo sirvo, y cuando menos me acordé, olía diferente Huey.
wavs/79 (enhanced).wav|Y todavía tuve la necesidad de tomármelo Huey. Jajajajajajajajajajajajaja.
wavs/80 (enhanced).wav|Aaa ¡no puede ser! sabía de lo peor Huey. Era una cosa que tenía que ver con un caldo de pollo, puta madre, ¡horrible que sabía güey!
wavs/81 (enhanced).wav|Después de eso, al fin pude encontrar la leche, ¡Toma! ¡Huhuhuuu!
wavs/82 (enhanced).wav|Pero, de verdad me tuve que tomar esa madre, y sabía de lo peor. Y después encontré la leche normal ya.
wavs/83 (enhanced).wav|Pero güey, todavía estoy, ¡Ah no puede ser! o sea al mismo tiempo me da risa, pero al mismo tiempo digo: chale, a ver si mañana no amanezco, de la fregada.
wavs/84 (enhanced).wav|Vamos a ponernos un poco serios y vamos a hablar de un tema, que, la neta, es algo de lo que, quiero hablar.
wavs/85 (enhanced).wav|En primera, lo siento por haber estado desaparecido por unos cuantos días.
wavs/86 (enhanced).wav|La verdad es que no tenía nada interesante que publicar, oh yea, oy yea, vamos.
wavs/87 (enhanced).wav|Yo sé, que hoy es viernes, y el lunes tuve que haberles publicado un vídeo,
wavs/88 (enhanced).wav|Pero, em, realmente estube ocupado, estudios, todo eso, hem, preparando música, entonces sí, pero, en fin.
wavs/89 (enhanced).wav|Este tema del que yo quiero hablarles hoy, es muy delicado y tiene que ver, con el chelsy fútbol club.
wavs/90 (enhanced).wav|Ustedes saben que, yo, cuando se trata de irle a un equipo europeo yo le voy al Chelsy, que es un equipo muy bueno de Inglaterra.
wavs/91 (enhanced).wav|Y me van a decir: Aldo, pero, ¿Qué tiene que ver el vídeo de hoy con el Chelsy?
wavs/92 (enhanced).wav|Pues básicamente, demasiado. Tiene que ver mucho el vídeo de hoy con el Chelsy.
wavs/93 (enhanced).wav|Porque quiero hablarles, de la venta, bueno no, no de la venta, si no de la sanción que le puso el gobierno británico.
wavs/94 (enhanced).wav|Quien es el dueño del Chelsy todavía, aún no ha dejado el Chelsy, emmm,
wavs/95 (enhanced).wav|Todos sabemos lo que está pasando ahorita con Rusia y Ucrania, que es demasiado devastador, demasiado terrible.
wavs/96 (enhanced).wav|Que, aprovecho de hecho, para, pues, mandar un mensaje de apoyo a todos los que están ahí en Ucrania.
wavs/97 (enhanced).wav|A los que están pasando por estos momentos malos, que realmente en mi opinión,
wavs/98 (enhanced).wav|única opinión que voy a dar sobre ese tema es que, es una, verdadera tristeza lo que está pasando, y realmente espero que pues eso se detenga ya ¿No?
wavs/99 (enhanced).wav|Neta, no entiendo cómo dos países se pueden andar peleando por, cosas.
wavs/100 (enhanced).wav|El caso de este video es que pues, gracias a eso, pues básicamente ya el gobierno británico ya como que ha dicho: hmmm, se ha puesto bravo.
wavs/101 (enhanced).wav|Y quiso sancionar al dueño del Chelsy, que obviamente es Ruso.
wavs/102 (enhanced).wav|Entonces, pues, lo sancionó, eh, la noticia, de hecho salió ayer, entonces el gobierno británico sancionó a este güey.
wavs/103 (enhanced).wav|Congeló todo lo que tenía en reino unido, ósea, básicamente, congeló las cuentas de este Huey.
wavs/104 (enhanced).wav|Congeló los activos, básicamente lo que todo el men tenía en reino unido, ¡y eso pasó a afectarle al Chelsy!
wavs/105 (enhanced).wav|Ahora sí ya el Chelsy, no podríamos decir que está en la bancarrota, pero si está cabrón lo que acaba de pasar, porque lo sancionaron al Chelsy.
wavs/106 (enhanced).wav|¡Sy! ¡Al Chelsy! ¡Sancionaron al Chelsy! que nada tiene que ver, con lo que está pasando ahorita en el pinche mundo Huey.
wavs/107 (enhanced).wav|¡Nada tiene que ver! O sea, y perdónenme la palabra pero estoy encabronado, porque ¡no puede ser que metas, al Chelsy en esto de por medio güey!
wavs/108 (enhanced).wav|No, ¡no puede ser que lo metas Huey! Ósea, ¡nada tiene que ver el equipo! ¡Absolutamente nada! solamente hubieran sancionado al dueño, y ya.
wavs/109 (enhanced).wav|El gobierno de iu kei dijo: ñe, me vale pepino, déjame sancionarte, y de paso congelarte tus cuentas bancarias, tus activos.
wavs/110 (enhanced).wav|¿Y en qué consiste esta sanción? que la verdad es una verdadera vergüenza, literal, yo puse eso en un tweet.
wavs/111 (enhanced).wav|O sea, si el dueño del Chelsy no fuera ruso, ¡toda la gente ahorita estuviera callada!
wavs/112 (enhanced).wav|El gobierno británico no diría nada, estarían calladitos, nada les pasa, bla bla bla bla bla, no le darían importancia.
wavs/113 (enhanced).wav|Y ahora que es de Rusia el Huey, lo sancionan y sancionan al Chelsy. ¡Terrible!
wavs/114 (enhanced).wav|¿Con qué sancionaron al Chelsy? básicamente esta es fácil. ¡Es que la batalla está tan intensa!
wavs/115 (enhanced).wav|No van a poder, ni vender, ni comprar, ni renovar jugadores, lo cual es triste para el Chelsy al menos por ahora.
wavs/116 (enhanced).wav|Al menos que ya hayan arreglado esta honda, porque iban a estar en conversaciones con el gobierno de iu kei para que pues esto se mejore.
wavs/117 (enhanced).wav|A parte de esa, tampoco pueden venderle entradas a los aficionados, ni a los visitantes.
wavs/118 (enhanced).wav|Es terrible, sólo pueden vender comida y bebida en el estadio.
wavs/119 (enhanced).wav|Lo otro que no pueden hacer a parte de lo que les acabo de mencionar, es que tampoco pueden vender mercancía del club, no pueden vender banderas del Chelsy.
wavs/120 (enhanced).wav|Lo que sea, todo lo que tenga que ver con el Chelsy, no lo pueden vender, de hecho ayer les avisó a los que estaban allá en íngland.
wavs/121 (enhanced).wav|Y la verdad sí está cabrón el, el futuro del Chelsy por ahora.
wavs/122 (enhanced).wav|Y más ahora que, justo ayer a las siete de la mañana que yo me desperté andaba viendo Twitter.
wavs/123 (enhanced).wav|Y que me entero de que a parte de esta sanción, que tampoco van a poder gastar mucho en viajes para partidos, no van a poder gastar más de veinte mil libras.
wavs/124 (enhanced).wav|No sé cómo le vayan a hacer en partidos, donde qué sé yo, la chÁmpions o, o otras cosas.
wavs/125 (enhanced).wav|Porque ahorita no están en ninguna competición que tenga de dejar Europa, pero pues ahí sí.
wavs/126 (enhanced).wav|A parte de eso, salió ayer que, el patrocinador había cancelado temporalmente su patrocinio con el Chelsy.
wavs/127 (enhanced).wav|Que pues básicamente es un, un operador de telecomunicaciones de Inglaterra.
wavs/128 (enhanced).wav|Y en base a esto, a esta sanción que le dieron al dueño del Chelsy, habrán pensado dos veces en querer seguir patrocinando.
wavs/129 (enhanced).wav|Y pues, básicamente le dijeron al Chelsy: ¡Güey! quita nuestro logo del, de tus camisetas, ¡de todo!
wavs/130 (enhanced).wav|Pasó eso, el Chelsy está, ahora sí como diría la canción del MATEO, se está muriendo el MATEO, pero ahora sería se está muriendo el Chelsy güey.
wavs/131 (enhanced).wav|No en lo deportivo, porque si esto se llega a extender, si esta sanción, no llega a terminar, se va a ver muy comprometido el tema deportivo.
wavs/132 (enhanced).wav|Porque, no van a poder renovar jugadores, no van a poder comprar jugadores, no van a poder vender jugadores, ni tampoco prestar, es un problemón acá de estos cabrones.
wavs/133 (enhanced).wav|Y, la verdad es que sí está fuerte, porque en caso de que esta sanción siga, no van a poder renovar a algunos jugadores.
wavs/134 (enhanced).wav|Como Andreas Crístensen, que creo que ya se va a ir al Barcelona si no es que ya, se fue a la chingada ese jugador también ya.
wavs/135 (enhanced).wav|Eso ya no es cuestión de la sanción, no van a poder renovar a ese güey, tampoco van a poder renovar a César Azpilicueta.
wavs/136 (enhanced).wav|Si no estoy mal, creo que tampoco van a poder renovar a Antonio Rüdiger, si esta sanción sigue.
wavs/137 (enhanced).wav|Y la verdad está tremendo está tremendo lo que le está pasando  al Chelsy, y yo creo que, lo va a afectar en temas deportivos.
wavs/138 (enhanced).wav|y ¿Qué puedo decirles? realmente me pone muy triste, que, solamente porque el dueño del Chelsy es Ruso, ¿Qué mamada es esa, güey?
wavs/139 (enhanced).wav|Solamente porque el dueño es ruso, ya van a agarrar y van a decir: ¡Tú, quítate de aquí!
wavs/140 (enhanced).wav|Tan simple como era sancionar al dueño nada más, y pues el equipo que se deja a parte güey.
wavs/141 (enhanced).wav|O sea, porque el equipo nada tiene que ver en esto que está pasando con Rusia y Ucrania, nada, absolutamente nada.
wavs/142 (enhanced).wav|Por más que me quieran decir que ese güey del roman Abán Abrámovich estaba vinculado con el presidente de Rusia, que tal tal tal y tal y tal.
wavs/143 (enhanced).wav|Para mí, no tiene, absolutamente nada que ver el dueño, con el Chelsy ¿Saben?
wavs/144 (enhanced).wav|Osea, lo que trato de decir es que, el Chelsy no debería de estar pasando por lo que está pasando ahora güey.
wavs/145 (enhanced).wav|No es crítico, por ahora, pero sí está cabrón, porque güey, o sea, no vas a poder, meter gente a tu estadio, que de por sí si se llenaba.
wavs/146 (enhanced).wav|Al menos que la gente que vaya al estadio tenga su abono de las temporadas y todo esto.
wavs/147 (enhanced).wav|¡Es un caso muy feo, güey! ¡Y sí güey! la neta, está fuerte lo que está pasando con el Chelsy.
wavs/148 (enhanced).wav|Si de por sí tampoco puedes vender el club güey. Ya no pueden vender el club, porque el gobierno británico al congelar todo eso, ya no puede vender el club el men.
wavs/149 (enhanced).wav|Pues la única forma de que esto se detenga güey, es: que el gobierno británico tenga control sobre la oferta, que le quieran hacer al Chelsy pa venderlo, y así.
wavs/150 (enhanced).wav|Realmente, muy feo lo que pasa con el Chelsy ahorita, en lo administrativo, porque en lo deportivo, va muy bien.
wavs/151 (enhanced).wav|A esperar qué vaya a pasar con el partido del lil, que tienen la próxima semana en chámpions, a ver si es que si van a poder viajar o, qué honda con ese tema del límite de los gastos.
wavs/152 (enhanced).wav|Porque si está feo, fuera de eso pues el equipo está bien en, términos de lo deportivo, van terceros en la premier.
wavs/153 (enhanced).wav|Osea, en lo deportivo no pasa nada, pero, también esta sanción si puede repercutir, en el tema deportivo.
wavs/154 (enhanced).wav|¡Eh, a ver! yo, como fan del Chelsy, sí me encabroné esto, porque el Chelsy no tiene nada que ver güey, absolutamente nada que ver.
wavs/155 (enhanced).wav|El gobierno británico, no los entiendo güey, dicen que quieren proteger a la gente.
wavs/156 (enhanced).wav|Ay, es que, ¡es que güey, no puedo güey! he leído tantas noticias de tantas cosas malas por las que está pasando el Chelsy.
wavs/157 (enhanced).wav|Ya esa sanción se venía güey, ¡el propio dueño del Chelsy ya lo sabía! me deja tranquilo saber que él ya sabía que pues está intentando, solucionar esta honda.
wavs/158 (enhanced).wav|¿Qué les digo, gente? la verdad, una vergüenza que quieran mezclar el fútbol con esta, madre de la política y de lo de Rusia y lo de Ucrania y la honda.
wavs/159 (enhanced).wav|De verdad es una verdadera vergüenza, una verdadera tontería lo que, hizo, el gobierno británico.
wavs/160 (enhanced).wav|Con todo el respeto para el gobierno británico que sabrán por qué lo hicieron ¿No?
wavs/161 (enhanced).wav|A parte de que giúnday, los hueyes que hacen carros y motos y esto, que patrocinan al Chelsy, también estaban pensando si dejaban el Chelsy de patrocinarlo o no.
wavs/162 (enhanced).wav|Y bueno, pues, nada, simplemente, me tocará esperar a ver qué honda, a ver qué pasa.
wavs/163 (enhanced).wav|Estoy algo preocupado por el futuro del club, si les soy honesto.
wavs/164 (enhanced).wav|¡Yo sé! puede sonar algo ridículo que te preocupes por un equipo de fútbol, yo lo sé, a veces sí es ridículo, pero la neta sí está feo lo que está pasando en el ambiente del Chelsy.
wavs/165 (enhanced).wav|Pues espero que pronto mejore esta honda. Hombre, no hombre, ¡Tú no mandas a nadie!
wavs/166 (enhanced).wav|Más allá de eso, pues, me alegro que les esté yendo bien en lo deportivo.
wavs/167 (enhanced).wav|Ya, ¡nada! tendré que seguir acá, viendo qué honda, viendo qué pasa con todo lo que tiene que ver con el Chelsy, si lo venden o no.
wavs/168 (enhanced).wav|Porque, hay un montón de gente que lo quiere comprar, está muy movido eso de que ¿Quién quiere al Chelsy?
wavs/169 (enhanced).wav|Que lo pusieron muy, muy alto la neta, el coste del Chelsy está como a cuatro millones de, de libras o algo así.
wavs/170 (enhanced).wav|Creo que, puso en venta el güey al Chelsy, el güey que era su dueño antes, gracias a estas sanciones.
wavs/171 (enhanced).wav|Conclusiones finales: una verdadera mamá, rra, no no no, no, es más, déjenme decirlo completo.
wavs/172 (enhanced).wav|Una, verdadera, mamada, lo que le están, haciendo, al Chelsy.
wavs/173 (enhanced).wav|¿Qué es eso de que, nomás porque nosotros queremos no puedes vender entradas para los, partidos de local y así?
wavs/174 (enhanced).wav|Eh, no puedes gastar más de veinte mil libras, porque si gastas vales madre.
wavs/175 (enhanced).wav|Quería hablarlo, porque no tenía mucho más que hablar en estos días, y realmente he estado muy ocupado con, otras cosas.
wavs/176 (enhanced).wav|Sobre todo con la música, con producir música, ya verán lo que les tengo preparado así que.
wavs/177 (enhanced).wav|Espero que vayan alistándose para eso que les tengo preparado, va a ser una gran sorpresa.
wavs/178 (enhanced).wav|No les puedo adelantar mucho, solamente les voy a adelantar que tiene que ver algo con, electro.
wavs/179 (enhanced).wav|Lo demás, es sorpresa, así que, esperen eso, yo, por mi parte ahorita me despido.
wavs/180 (enhanced).wav|Algo, Algo acuitado, algo triste por lo que le está pasando al Chelsy, no se lo merece la verdad.
wavs/181 (enhanced).wav|Ningún equipo se lo merece, ningún equipo, aunque yo no sea de otro equipo, ningún equipo se lo merece.
wavs/182 (enhanced).wav|Sea de premier lig, sea de Inglaterra, sea de Italia, de cualquier lugar que sea, el equipo en cuestión no se lo merece.
wavs/183 (enhanced).wav|Si les gustó este pequeño video, que ya ha de durar un montón, recuerden darle laik, compartir, comentar.
wavs/184 (enhanced).wav|Decirme qué piensan, sobre esto del Chelsy, que si creen que es justo lo que le están haciendo al Chelsy de sancionarlo también a él igual que al dueño.
wavs/185 (enhanced).wav|Yo opino que no es justo güey, o sea, mínimo, sancionan al dueño nada más y, se acabó.
wavs/186 (enhanced).wav|No está para nada bien, pésimo, pésimo lo que acaban de hacer, es la primera vez que hacen esta mamarrachada, entonces.
wavs/187 (enhanced).wav|Si quieren saber mucho más, sobre las sanciones del Chelsy y sobre esto,
wavs/188 (enhanced).wav|Pues busquen en internet algunos vídeos que tengan que ver con el tema, yo básicamente expliqué más o menos lo que, estube leyendo y lo que pues, se me quedó grabado acá.
wavs/189 (enhanced).wav|eh algunas cosas probablemente me equivoque en ellas y en al, y en otras no.
wavs/190 (enhanced).wav|Pero si quieren saber más, sobre el Chelsy, por qué lo sancionaron y toda esta madre, a parte de la guerra de Rusia,
wavs/191 (enhanced).wav|¡Es que, güey! ¡Te lo juro! te lo vuelvo a repetir güey. Bro, tú que estás escuchando güey.  Tú, que estás viendo este vídeo bro, te lo juro.
wavs/192 (enhanced).wav|Si el pinche dueño del Chelsy no fuera ruso, nada contra los rusos.
wavs/193 (enhanced).wav|No hubiera pasado nada de esto güey. Nada,, yo sé que el hubiera no existe, pero literal, no hubiera pasado nada de esta madre.
wavs/194 (enhanced).wav|Y ahorita todos estaríamos felices, calladitos, estaría tranquilamente, eh haciendo sus desastres allí en Inglaterra.
wavs/195 (enhanced).wav|Que hay cosas políticas con el otro güey de Inglaterra, que si este güey.
wavs/196 (enhanced).wav|Yo solamente voy a decir una cosa. somos los campeones del mundo, y sabemos lo que somos.
wavs/197 (enhanced).wav|De verdad, mucha fuerza para el Chelsy, y ojalá, que como fan, deseo que se recuperen pronto de esta mierda que les está pasando.
wavs/198 (enhanced).wav|En lo administrativo, en lo deportivo pues, a todo dar, están a todo dar, por más que no vayan a ganar la premier lig este año.
wavs/199 (enhanced).wav|Ahí me dicen, si quieren que opine sobre lo que pasó en el fútbol mexicano en estos, tiempos.
wavs/200 (enhanced).wav|¡No puede ser no puede ser! ¡Pausa, pausa, pausa!  ¡Puta bocina, por qué ahorita! ¡Chinga puta bocina de mierda!
wavs/201 (enhanced).wav|Por cierto, ¡Puta madre otra vez! ay ay ay ay ay ay ay maldita bocina otra vez y me voy a morir y voy a tirar todo el keyboard aquí.
wavs/202 (enhanced).wav|¡Y perdí! ¡Otra vez! ¡Chinguen a su madre! ¡Uhuhuhu! ¡Ta buenísimo!
wavs/203 (enhanced).wav|¡No, ya! ya voy a perder, ya voy a perder. ¡Ah! Saben qué, ¿Saben qué?
wavs/204 (enhanced).wav|Estamos aquí en produciendo con el chaboaldo, esta sección que todavía no sé si voy a hacer sección de estas cosas.
wavs/205 (enhanced).wav|Tengo que hacerle remixes a mis propios remixes de hacia abajo.
wavs/206 (enhanced).wav|Tube que utilizar páginas externas para sacar los stems del remix de hacia abajo EDM remix, creado por el gran amigo del Mateo Cedillo.
wavs/207 (enhanced).wav|Vamos a tratar, de remixear, esta honda, tengo que desquitarme. Si, Siendo honestos, ya tengo que desquitarme, tengo que remixear.
wavs/208 (enhanced).wav|Primero voy a grabar el bajo, primer bajo que es el ua, ua, ua. ¡Ooo! ¡Más sangre!
wavs/209 (enhanced).wav|Vamos a ver qué sale, tengo que decir que estoy usando un vi es ti, cargado en web, porque le original, no lo he descargado.
wavs/210 (enhanced).wav|Voy a borrar la pista original, si no va a hacer esto, y pues, así no sale un buen remix.
wavs/211 (enhanced).wav|Voy a proceder a, descargar algo que se me olvidó descargar para poder.
wavs/212 (enhanced).wav|No voy a procesarlas, porque desconozco mucho cómo ecualizar, y procesar y todo esto.
wavs/213 (enhanced).wav|Yo sé que debería haberlo sabido antes si es que quiero dedicarme a producir, pero la verdad es que es algo de lo que no he investigado, y la verdad sería buena idea investigarlo.
wavs/214 (enhanced).wav|Esto de quiroguita es básicamente sacado de mi sección de blogs de a ele de, el blog siete.
wavs/215 (enhanced).wav|No puedo creer que ya tenga blog siete, y hemos pasado tanto tiempo con esos blogs.
wavs/216 (enhanced).wav|¡Qué buen remix bro! jaja se la bañó hahahaha. Quiero escuchar más sangre, ¡más sangre!
wavs/217 (enhanced).wav|Ya tenemos los, vocal chops, bueno, en realidad no, lo siento mucho, en realidad quise añadirle más realismo al remix.
wavs/218 (enhanced).wav|Con estos sonidos ocho bit que me encontré en un pack.
wavs/219 (enhanced).wav|No sean, no sea mala onda, apoyen al barrio. ¡Jajajajajajajajajajajaja! ¡No no! Neta, ¡Hay Dios, está muy bueno esto!
wavs/220 (enhanced).wav|ahora vamos a añadirle los drums a esa cosa, pude haberlo hecho antes pero, tengo muchos pensamientos que,
wavs/221 (enhanced).wav|Porque si no va a ser un despapaye monumental, esta cosa va a estar muy mal ecualizada, porque no la he ecualizado, porque no sé masterizar.
wavs/222 (enhanced).wav|Pero al menos yo si hago mis canciones propia. No como el Alan Walker que hace canciones gost producidas.
